"","T0","T4","T8","Tend"
"1429",0,0.547936495489476,0.985857743428556,1
"1438",0,0.623192071536958,1,1
"1440",0,0.615361496661801,0.782069363489208,1
"1453",0,-0.0411822582074491,0.763948670474539,1
"1465",0,1,1,1
"1472",0,0.518491889632651,1.14168525806238,1
"1541",0,-0.157530887667619,0.68091097688642,1
"1576",0,0.758537813237206,0.988983834714786,1
"1578",0,0.129493277512858,1.0499337765146,1
"1579",0,0.10596308144565,0.8719850390979,1
"1617",0,-0.100207002343065,0.62131714544507,1
"1677",0,0.752599669459545,1.05706891647212,1
"1789",0,-0.242171236820518,1,1
"1791",0,0.410746017137197,0.660431243110718,1
"1804",0,0.761234096755946,0.609268369109477,1
"1822",0,0.743590756787371,1,1
"1830",0,-0.273722968540332,1,1
"1861",0,0.399002639935176,0.985643751512847,1
"1900",0,0.120118170462315,0.748883016941719,1
"1987",0,-0.387497911554651,1.00278775045938,1
"1989",0,-0.584331847441125,0.875068598853363,1
"2021",0,0.283473771099121,1,1
"2038",0,0.411977978604649,0.839514871643769,1
"2039",0,-0.260683623643602,1.14168525806238,1
"2057",0,0.0450492808978284,0.478681136487923,1
"2079",0,0.118986750325156,0.918618754321461,1
"2130",0,0.665542736493254,1,1
"2175",0,-0.973107143754204,0.865366186555435,1
"2182",0,0.853047131649121,1,1
"2192",0,0.692560577825532,1.01635614107055,1
"2193",0,0.554077879653293,1,1
"2196",0,0.852995956977852,0.919748758645851,1
"2197",0,0.688295980204203,0.964345829820508,1
"2198",0,0.576292794249519,0.989210965616932,1
"2200",0,0.862485109453052,0.967805933188326,1
"2201",0,0.735880411555283,1.00748329317939,1
"2219",0,0.601811306313701,1,1
"2249",0,0.47873224314471,1,1
"2265",0,0.676837983787331,1.09563838995468,1
"2275",0,0.54382209213738,1,1
"2292",0,0.37976372927339,0.993051259766699,1
"2317",0,-0.157381970854287,0.97258450385991,1
"2324",0,0.100573964521588,1,1
"2325",0,0.0205038359950609,1.0151585870742,1
"2326",0,0.000242359663854537,0.976015062750169,1
"2329",0,0.152213945794753,0.98786952869034,1
"2330",0,0.0965694851017786,1,1
