ref,count_1_aerobic_t30_7_Rif,count_1_aerobic_t60_1_control,count_1_aerobic_t180_6_Nor,count_1_aerobic_t30_1_control,count_1_aerobic_t180_5_Gent,count_1_aerobic_t0_1_control,count_1_aerobic_t180_1_control,freq_aerobic_t30_7_Rif,freq_aerobic_t60_1_control,freq_aerobic_t180_6_Nor,freq_aerobic_t30_1_control,freq_aerobic_t180_5_Gent,freq_aerobic_t0_1_control,freq_aerobic_t180_1_control
94,121,91,54,71,115,122,80,66.41607862,54.30414018,29.64321102,44.77430283,64.45187603,66.06150001,35.97924717
95,77,103,61,82,64,73,111,42.2647773,61.4651257,33.48584948,51.71116665,35.86887014,39.52860246,49.92120545
96,8,11,7,28,8,20,9,4.391145694,6.564236725,3.842638465,17.65747154,4.483608767,10.8297541,4.047665307
97,26,18,38,23,33,38,34,14.2712235,10.74147828,20.86003738,14.50435162,18.49488616,20.57653279,15.29118005
98,54,78,90,60,78,76,91,29.64023343,46.54640587,49.4053517,37.83743901,43.71518548,41.15306558,40.92639366
99,57,41,49,54,32,34,62,31.28691307,24.46670052,26.89846926,34.05369511,17.93443507,18.41058197,27.88391656
100,53,45,45,48,44,28,57,29.09134022,26.8536957,24.70267585,30.26995121,24.65984822,15.16165574,25.63521361
101,28,43,25,36,56,44,47,15.36900993,25.66019811,13.7237088,22.70246341,31.38526137,23.82545902,21.13780771
102,43,76,49,94,65,47,75,23.6024081,45.35290829,26.89846926,59.27865445,36.42932123,25.44992213,33.73054422
103,125,118,119,105,132,165,162,68.61165147,70.4163576,65.32485391,66.21551827,73.97954466,89.34547132,72.85797552
104,72,75,49,127,78,101,100,39.52031124,44.75615949,26.89846926,80.08924591,43.71518548,54.6902582,44.97405896
105,25,12,12,31,16,23,36,13.72233029,7.160985519,6.587380226,19.54934349,8.967217534,12.45421721,16.19066123
106,186,153,114,117,125,123,197,102.0941374,91.30256536,62.58011215,73.78300607,70.05638698,66.60298771,88.59889616
107,184,127,244,93,184,177,231,100.996351,75.78709674,133.9433979,58.64803047,103.1230016,95.84332378,103.8900762
108,52,28,31,34,33,28,45,28.54244701,16.70896621,17.01739892,21.44121544,18.49488616,15.16165574,20.23832653
109,136,133,79,83,139,148,150,74.6494768,79.3675895,43.36691982,52.34179063,77.90270233,80.14018034,67.46108844
110,151,175,100,162,119,102,120,82.88287497,104.4310388,54.89483522,102.1610853,66.69368041,55.23174591,53.96887076
111,215,150,163,132,135,188,265,118.0120405,89.51231898,89.47858141,83.24236582,75.66089794,101.7996885,119.1812563
112,99,98,93,38,83,80,126,54.34042796,58.48138174,51.05219675,23.96371137,46.51744096,43.3190164,56.66731429
