no  subtraction,0.5% subtraction,1% subtraction,#ORF/Gene,number,,,,,,,,,,,,,,,,,,,,
28869,28786,28703,b0259,insH,,,,,,,,,,,,,,,,,,,,
717,603,497,b0260,mmuP,,,,,,,,,,,,,,,,,,,,
3411,3335,3259,b0261,mmuM,,,,,,,,,,,,,,,,,,,,
180,97,43,b0262,afuC,,,,,,,,,,,,,,,,,,,,
651,610,569,b0264,insB,,,,,,,,,,,,,,,,,,,,
1746,1723,1700,b0265,insA,,,,,,,,,,,,,,,,,,,,
50,9,1,b0267,yagA,,,,,,,,,,,,,,,,,,,,
7210,7136,7061,b0268,yagE,,,,,,,,,,,,,,,,,,,,
6970,6809,6648,b0269,yagF,,,,,,,,,,,,,,,,,,,,
548,435,324,b0270,yagG,,,,,,,,,,,,,,,,,,,,
411,280,169,b0271,yagH,,,,,,,,,,,,,,,,,,,,
2306,2244,2182,b0272,yagI,,,,,,,,,,,,,,,,,,,,
891,809,726,b0273,argF,,,,,,,,,,,,,,,,,,,,
619,578,537,b0274,insB,,,,,,,,,,,,,,,,,,,,
1503,1481,1458,b0275,insA,,,,,,,,,,,,,,,,,,,,
2036,1984,1933,b0277,yagK,,,,,,,,,,,,,,,,,,,,
1082,1025,967,b0278,yagL,,,,,,,,,,,,,,,,,,,,
772,702,632,b0279,yagM,,,,,,,,,,,,,,,,,,,,
35648,35612,35576,b0280,yagN,,,,,,,,,,,,,,,,,,,,
13906,13791,13677,b0281,intF,,,,,,,,,,,,,,,,,,,,
141,73,41,b0283,paoD,,,,,,,,,,,,,,,,,,,,
247,106,34,b0284,paoC,,,,,,,,,,,,,,,,,,,,
81,34,8,b0285,paoB,,,,,,,,,,,,,,,,,,,,
109,56,28,b0286,paoA,,,,,,,,,,,,,,,,,,,,
23029,22978,22928,b0287,yagU,,,,,,,,,,,,,,,,,,,,
234,207,180,b0288,ykgJ,,,,,,,,,,,,,,,,,,,,
847,789,731,b0289,yagV,,,,,,,,,,,,,,,,,,,,
970,835,705,b0290,yagW,,,,,,,,,,,,,,,,,,,,
328,150,56,b0291,yagX,,,,,,,,,,,,,,,,,,,,
37,5,0,b0292,matC,,,,,,,,,,,,,,,,,,,,
387,339,292,b0293,matB,,,,,,,,,,,,,,,,,,,,
75,42,21,b0294,matA,,,,,,,,,,,,,,,,,,,,
937,919,900,b0295,ykgL,,,,,,,,,,,,,,,,,,,,
779,768,756,b4506,ykgO,,,,,,,,,,,,,,,,,,,,
1938,1916,1895,b0296,ykgM,,,,,,,,,,,,,,,,,,,,
6653,6645,6637,b4671,ykgR,,,,,,,,,,,,,,,,,,,,
805,781,756,b0298,insE,,,,,,,,,,,,,,,,,,,,
598,527,456,b0299,insF,,,,,,,,,,,,,,,,,,,,
372,323,275,b0301,ykgB,,,,,,,,,,,,,,,,,,,,
220,200,181,b0303,ykgI,,,,,,,,,,,,,,,,,,,,
879,770,662,b0304,ykgC,,,,,,,,,,,,,,,,,,,,
