avg_lr,normalized_lr,distance_ATG,operon_pos,geneName
-23.903108596801758,1.0,48,3,dapD
-19.795246601104736,0.828145281645641,43,3,dapD
-16.06527328491211,0.6720997488611856,30,3,dapD
-5.096185505390167,0.3104748370137746,44,2,dapE
-16.41416597366333,1.0,47,2,dapE
-4.66340959072113,0.28410883612384635,48,2,dapE
-10.831925868988037,0.6599132655517165,77,2,dapE
-16.57816743850708,0.6667069308498227,23,12,ddlB
-17.923060417175293,0.7207930940795811,37,12,ddlB
-19.6907377243042,0.7918819352642448,40,12,ddlB
-24.86574935913086,1.0,85,12,ddlB
-22.180448055267334,0.8890111783251754,59,1,accD
-24.94957160949707,1.0,43,1,accD
-22.94403314590454,0.9196163166653684,42,1,accD
-16.108458518981934,0.6456406855839656,39,1,accD
-13.736364841461182,0.7454936730880574,89,1,dicA
-18.42586374282837,1.0,100,1,dicA
-8.852925777435303,0.7246394850520791,105,2,dksA
-7.946666598320007,0.6504593550715839,65,2,dksA
-7.519482254981995,0.6154929891083931,48,2,dksA
-12.217007160186768,1.0,19,2,dksA
-25.86783790588379,1.0,82,1,dnaA
-16.010764598846436,0.6189448324633539,53,1,dnaA
-20.058674812316895,0.7754291211077379,34,1,dnaA
-13.54682993888855,0.5236939394848784,33,1,dnaA
-14.958211898803711,0.6498583129142855,43,1,dnaB
-20.041449546813965,0.8706991637075888,44,1,dnaB
-19.354047775268555,0.8408350490277775,57,1,dnaB
-23.017651081085205,1.0,67,1,dnaB
-23.820117950439453,1.0,118,3,dnaC
-14.752966403961182,0.6193490071987241,52,3,dnaC
-15.575002193450928,0.653859154931833,47,3,dnaC
-7.626601457595825,0.3201747981879797,19,3,dnaC
-19.00759744644165,0.8814559775751568,12,8,dnaE
-21.563864707946777,1.0,26,8,dnaE
-21.528613090515137,0.9983652458448856,62,8,dnaE
-13.97663927078247,0.6481509441872801,67,8,dnaE
-18.77009344100952,0.9387452500508499,0,2,dnaG
-13.72486925125122,0.6864193754641262,17,2,dnaG
-19.994874477386475,1.0,110,2,dnaG
-21.335188388824463,1.0,26,1,dnaK
-17.82125186920166,0.8352985473770914,67,1,dnaK
-3.160524010658264,0.14813668166688282,91,1,dnaK
-3.7819005846977234,0.17726117603342617,106,1,dnaK
-10.345799922943115,0.4688756546046746,83,2,dnaN
-15.43840217590332,0.6996743586954735,74,2,dnaN
-22.065124988555908,1.0,59,2,dnaN
-19.453877925872803,0.8816572730026487,-1,2,dnaN
-22.176937580108643,1.0,23,2,dnaT
-20.24111557006836,0.9127101294735754,22,2,dnaT
-21.05712366104126,0.9495054754506868,21,2,dnaT
-20.356109142303467,0.9178954068284727,9,2,dnaT
-19.12602949142456,0.9014846489200373,22,1,dnaX
-4.194502115249634,0.19770330629551539,23,1,dnaX
-15.989405632019043,0.753643286448114,35,1,dnaX
-21.216145515441895,1.0,43,1,dnaX
-22.444110870361328,0.9052869667036844,32,1,dut
-22.671672821044922,0.9144657160540794,33,1,dut
-21.998780727386475,0.8873245008860784,54,1,dut
-24.792261123657227,1.0,59,1,dut
-25.473628520965576,1.0,55,2,eno
-17.97682285308838,0.7057032663522161,46,2,eno
-23.4421329498291,0.9202510325741583,45,2,eno
-18.267356395721436,0.7171085336620514,6,2,eno
-18.77611494064331,0.802357980486883,61,16,lpxC
-14.653936386108398,0.626205306162146,76,16,lpxC
-11.889761447906494,0.5080840745793921,77,16,lpxC
-23.401169300079346,1.0,89,16,lpxC
-11.596187353134155,0.5637214086419843,112,2,era
