Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
adiA,88,60,-28,4.68096030615177,-0.0713262523568342
ftsH,72,58,-14,0.0551945891272495,3.39440757508742
ftsH,58,36,-22,3.39440757508742,5.70346580573068
rlmE,105,99,-6,5.95141550036796,1.24899210453217
rlmE,99,34,-65,1.24899210453217,3.84484303856939
fabI,57,45,-12,7.13703581473408,3.74381239875638
ftsN,35,31,-4,-0.475860473615433,5.90505772433681
ftsN,31,25,-6,5.90505772433681,0.573112659094452
kup,30,31,1,2.00373692250741,-0.174327348751829
hemE,51,52,1,2.83152742895542,0.578762894401866
glmM,126,118,-8,2.75861563972592,-0.918604120309686
caiC,145,109,-36,-0.0746753464315307,3.25496934467719
caiC,109,90,-19,3.25496934467719,-0.170650963892776
fixX,131,132,1,6.14510594469813,-0.165326678933158
lptD,45,33,-12,0.565540205724581,3.22055526938899
lptD,33,25,-8,3.22055526938899,0.404356804073599
lptD,25,17,-8,0.404356804073599,4.88363166632942
psuK,116,95,-21,-0.0820687683539862,3.49102847630398
psuK,95,54,-41,3.49102847630398,-0.176465686433351
galM,30,29,-1,0.0424217967357601,5.18169294696311
galM,29,18,-11,5.18169294696311,0.254425983570872
udk,134,75,-59,0.0838897662443586,4.51336824029677
acrB,25,5,-20,0.495330155667474,3.32284097074525
yddA,62,15,-47,-0.348503560759782,2.01231231113266
yddA,15,14,-1,2.01231231113266,-0.111669073792521
yibH,155,154,-1,0.0920063673898304,8.31042749671317
ybfH,75,47,-28,0.549604025196254,-1.45514112471989
ygdD,102,93,-9,4.97076304980808,-0.145531917778925
hybC,102,33,-69,5.21414147497361,-0.242065651344175
hybE,30,25,-5,0.0992253628828974,2.79889170000001
hybG,22,17,-5,-0.114178364649499,2.41047812019471
ispF,77,50,-27,0.0238738967379497,4.14669655598648
ispF,50,49,-1,4.14669655598648,2.10713113174454
trmL,36,39,3,-2.45051460473597,0.513637680859036
rpoE,43,28,-15,4.72568466253758,1.46461081508743
rpoE,28,22,-6,1.46461081508743,4.28853301416477
rcbA,183,44,-139,0.352776086501803,4.96832445062357
rcbA,44,18,-26,4.96832445062357,0.0815344368734179
yjbL,18,19,1,0.929211476969527,-1.23222113972323
wbbK,124,53,-71,-0.760868839878037,2.44834765154742
wbbK,53,42,-11,2.44834765154742,0.118923670206567
wbbL_1,25,24,-1,-0.764086143641173,1.4716663476189
yehC,85,23,-62,-0.334283405848293,1.87356980765649
yehC,23,14,-9,1.87356980765649,-0.872425044425356
psuT,225,152,-73,0.0130531692208387,3.54178747842805
psuT,152,148,-4,3.54178747842805,-0.0448890261139358
yejL,16,17,1,4.71047285943597,9.93382458310864
yejL,87,91,4,2.06575913996918,7.42641905812839
secG,117,99,-18,3.1817912897247,0.432878256284641
prfC,65,66,1,5.35616154008864,0.911059690993177
lgt,26,6,-20,7.38412008458133,9.73286956541909
smtA,43,44,1,2.75213405376732,-0.185014605424337
nadK,41,42,1,4.32914131609575,1.92307153320124
nadK,50,51,1,0.389734503200486,2.73122073894702
yhhM,14,11,-3,1.57287476151156,-0.721346378193845
yhiK,54,41,-13,0.0,3.25530173238097
yhiK,41,32,-9,3.25530173238097,0.0817456817262433
yhiN,82,18,-64,0.00376149561256304,3.77406208455099
rsmJ,45,33,-12,0.115489164548598,-3.98449045719353
yhjA,194,163,-31,-0.0913663323793915,2.65645761336673
yhjA,163,111,-52,2.65645761336673,-0.0572336134480375
yhjA,111,85,-26,-0.0572336134480375,5.86151261623345
bcsE,20,21,1,0.643659645190023,4.73056469063689
yiaF,121,67,-54,5.78573378404781,0.0871632803308646
yiaM,43,52,9,0.335940168816423,3.8140531366354
yiaY,204,96,-108,-0.343793730052217,2.50596909946216
yiaY,96,26,-70,2.50596909946216,-0.150280855281074
coaE,125,96,-29,0.360689714033681,5.76043880013653
coaE,96,57,-39,5.76043880013653,0.397602706729896
can,68,0,-68,-0.288849205057086,1.76375612244772
yadL,219,141,-78,1.7476219287528,4.00116975815791
yadL,141,108,-33,4.00116975815791,0.587648721927505
