Gene name,# sgRNA,Mean LR,Median LR
atpB,4,0.10319761013335013,0.07978218755580754
atpC,4,-0.051279603298819275,0.00487221241935536
atpD,4,-0.0163229873998888,-0.0137347855716776
atpE,4,0.136600160477105,0.1115336515581334
atpF,4,0.09873448591057779,0.20045294565002
atpG,4,-0.2823733379524597,-0.2882687272658355
atpH,4,-0.08732846687940359,-0.0617106257206405
atpI,4,0.13009150404719286,0.1495586023170945
avtA,4,0.12283290968087998,0.08633050573906105
bcp,4,-1.0614921922311178,-0.4218396204701385
betA,4,-0.09890104663533986,-0.10280279689872472
betB,4,-0.05993204029120097,-0.0428084631308958
betI,4,0.23841649601145581,0.1508677486341385
betT,4,0.045429496027370626,0.0150110635627522
bfr,3,-0.2686205264664648,-0.355739949752432
bglB,4,0.41261642680796695,0.40763110276543846
bglF,4,-0.6001982954525068,0.06827275978528449
bglG,2,-0.39321763393828246,-0.39321763393828246
bioA,4,0.028068900448953125,0.03049639235223725
bioB,4,-0.10804311292028979,0.0437942716067804
bioC,4,0.17434177793567934,0.1764872813471105
bioD,4,0.23296271593897327,0.2376256791599335
bioF,4,-0.08924413672950703,0.10967028222347444
bioH,4,0.03804483173755773,0.08111262896180846
birA,4,-2.004609197927052,-1.3401286509804646
bisC,4,-0.13448091367440837,-0.11310514789609999
bolA,4,-0.09360579334092324,-0.175421275881547
btuB,4,-0.46310742087543666,-0.022079558834306203
btuC,4,0.1667242177602643,0.151350144894778
btuD,4,0.16444161342820438,0.19895025861647397
btuE,4,-0.5692884872307571,0.005432076894479207
btuR,4,0.103297274149141,0.106155240610951
cadA,4,0.35761098519627327,0.38604091445710254
cadB,4,-1.9290597267197187,0.13115337523585718
cadC,4,-0.1936668216055844,-0.09340884827151562
carA,4,0.136834031476518,0.286903504224466
carB,4,0.1465539380290733,0.1139076327390869
cca,4,-0.49730086153509145,-0.45613557277234396
cdd,4,-0.06374172662158033,-0.0368914207468611
cdh,4,-0.206145164556949,-0.30923868662416
cdsA,4,-5.44152772767565,-5.380306345511896
chbB,2,-0.044676262018498,-0.044676262018498
chbC,4,0.07721646904257244,0.0404224794377953
chbA,4,0.097469193788141,0.055569848855519896
chbR,4,0.19135793442855442,0.13817579404335567
chbF,4,-0.03936201120553451,-0.0708625513590565
creD,4,-0.22900418176380422,-0.3348734036591545
cheA,4,0.018616323126326877,0.06679364699362575
cheB,4,-0.06836778114021544,-0.07828219768085991
cheR,4,0.038295927010308796,-0.03660564935204992
cheW,4,0.04685588776002967,0.043795749844234344
cheY,3,-0.20540487680662,-0.180684166846235
cheZ,4,0.20967074098550248,0.2677080298090825
modC,4,0.11530305601389701,0.08963112589711336
